t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
0.0,-3515.49032703351,8390.716310243391,4127.627352553682,-4.357676322178153,-3.3565791387645496,3.111892927869902,398600.4415,0.0010826269,-2.5324e-06
10.0,-3558.996519160797,8356.98299767266,4158.663446549043,-4.343533131272763,-3.3900608479610126,3.0953051853407008,398600.4415,0.0010826269,-2.5324e-06
20.0,-3602.360411172119,8322.915546062719,4189.533043658894,-4.329216394545532,-3.423406723777999,3.078593662496242,398600.4415,0.0010826269,-2.5324e-06
30.0,-3645.5802704876587,8288.515320422943,4220.234909440187,-4.314726688834749,-3.4566154320285185,3.061759032181806,398600.4415,0.0010826269,-2.5324e-06
40.0,-3688.6543703306766,8253.783699076626,4250.767816202994,-4.300064597913287,-3.4896856441238695,3.044801972170273,398600.4415,0.0010826269,-2.5324e-06
50.0,-3731.580989796732,8218.722073604738,4281.130543059634,-4.285230712463797,-3.522616037126872,3.027723165133755,398600.4415,0.0010826269,-2.5324e-06
60.0,-3774.3584139226555,8183.3318487891465,4311.321875973525,-4.270225630053617,-3.55540529380484,3.010523298615036,398600.4415,0.0010826269,-2.5324e-06
70.0,-3816.984933755268,8147.614442555296,4341.340607807745,-4.2550499551094125,-3.588052102682294,2.9932030649988226,398600.4415,0.0010826269,-2.5324e-06
80.0,-3859.4588464198437,8111.571285914377,4371.185538373306,-4.239704298891535,-3.620555158093412,2.9757631614828055,398600.4415,0.0010826269,-2.5324e-06
90.0,-3901.7784551882605,8075.203822904878,4400.855474477075,-4.224189279468124,-3.6529131602342124,2.9582042900485415,398600.4415,0.0010826269,-2.5324e-06
100.0,-3943.9420695409585,8038.513510524037,4430.3492299631,-4.208505521689603,-3.685124815214509,2.940527157432696,398600.4415,0.0010826269,-2.5324e-06
110.0,-3985.9480052496697,8001.501818692784,4459.665625776014,-4.192653657160313,-3.7171888351096114,2.9227324750959514,398600.4415,0.0010826269,-2.5324e-06
120.0,-4027.7945844387814,7964.170230185981,4488.80349000169,-4.17663432421279,-3.7491039380115287,2.9048209591941805,398600.4415,0.0010826269,-2.5324e-06
130.0,-4069.4801356456283,7926.520240560921,4517.761657906747,-4.160448167881627,-3.780868848080077,2.8867933305492883,398600.4415,0.0010826269,-2.5324e-06
140.0,-4111.002993888727,7888.553358098576,4546.538971986503,-4.144095839876007,-3.812482295593748,2.868650314618983,398600.4415,0.0010826269,-2.5324e-06
150.0,-4152.361500735492,7850.271103743962,4575.1342820123555,-4.1275779985520025,-3.843943017000292,2.850392641466402,398600.4415,0.0010826269,-2.5324e-06
160.0,-4193.5540043694355,7811.675011045618,4603.546445078617,-4.110895308884662,-3.8752497549670224,2.832021045729599,398600.4415,0.0010826269,-2.5324e-06
170.0,-4234.578859656892,7772.766626094244,4631.774325648823,-4.094048442439865,-3.9064012584308228,2.813536266590878,398600.4415,0.0010826269,-2.5324e-06
180.0,-4275.434428213264,7733.547507460543,4659.816795601537,-4.077038077345948,-3.9373962826478763,2.794939047745988,398600.4415,0.0010826269,-2.5324e-06
190.0,-4316.119078468812,7694.019226132285,4687.672734275657,-4.059864898265106,-3.968233589243103,2.776230137373161,398600.4415,0.0010826269,-2.5324e-06
200.0,-4356.631185734017,7654.183365450647,4715.34102851526,-4.042529596364556,-3.9989119462593075,2.757410288102009,398600.4415,0.0010826269,-2.5324e-06
210.0,-4396.969132264508,7614.041521045836,4742.820572713995,-4.025032869287473,-4.029430128206035,2.7384802569822644,398600.4415,0.0010826269,-2.5324e-06
