t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
0.0,-3515.49032703351,8390.716310243391,4127.627352553682,-4.357676322178153,-3.3565791387645496,3.111892927869902,398600.4415,0.0010826269,0.0
10.0,-3558.996519074167,8356.982997467016,4158.663446475552,-4.34353311391846,-3.3900608890446473,3.0953051705405565,398600.4415,0.0010826269,0.0
20.0,-3602.3604108244735,8322.915545241953,4189.533043360863,-4.329216359669216,-3.423406805673202,3.078593632287564,398600.4415,0.0010826269,0.0
30.0,-3645.5802697029567,8288.515318580323,4220.234908760504,-4.314726636272897,-3.4566155544569077,3.061758985959373,398600.4415,0.0010826269,0.0
40.0,-3688.654368931263,8253.783695808239,4250.767814978509,-4.300064527506594,-3.4896858068009156,3.0448019093321332,398600.4415,0.0010826269,0.0
50.0,-3731.580987603379,8218.722068509547,4281.130541121193,-4.285230624057202,-3.5226162397620677,3.0277230850813273,398600.4415,0.0010826269,0.0
60.0,-3774.358410754607,8183.331841469045,4311.321873146007,-4.270225523496328,-3.5554055361018717,3.010523200753208,398600.4415,0.0010826269,0.0
70.0,-3816.984929430281,8147.61443261517,4341.3406039100955,-4.255049830254926,-3.588052384339217,2.993202948736043,398600.4415,0.0010826269,0.0
80.0,-3859.458840754232,8111.571272962161,4371.185533218573,-4.239704155597652,-3.6205554788028245,2.975763026231178,398600.4415,0.0010826269,0.0
90.0,-3901.778447996937,8075.203806551605,4400.855467872447,-4.224189117596962,-3.6529135196834313,2.9582041352239083,398600.4415,0.0010826269,0.0
100.0,-3943.9420606374783,8038.513490383895,4430.34922170994,-4.208505341107609,-3.6851252130857506,2.940526982454726,398600.4415,0.0010826269,0.0
110.0,-3985.9479944462755,8001.501794383162,4459.665615669905,-4.192653457738264,-3.717189271080168,2.922732279388221,398600.4415,0.0010826269,0.0
120.0,-4027.7945715464443,7964.17020132752,4488.803477832467,-4.176634105825794,-3.74910441175395,2.90482074218425,398600.4415,0.0010826269,0.0
130.0,-4069.4801204740925,7926.520206777556,4517.761643458544,-4.160447930409126,-3.780869359262351,2.886793091668779,398600.4415,0.0010826269,0.0
140.0,-4111.002976246553,7888.553319017588,4546.5389550377895,-4.144095583201763,-3.8124828438794816,2.8686500533036474,398600.4415,0.0010826269,0.0
150.0,-4152.361480430099,7850.271058996019,4575.13426233598,-4.127577722564095,-3.843943602048895,2.850392357156194,398600.4415,0.0010826269,0.0
160.0,-4193.553981207144,7811.674960264809,4603.5464224418465,-4.110895013475469,-3.875250376433888,2.832020737868738,398600.4415,0.0010826269,0.0
170.0,-4234.578833442971,7772.766568918125,4631.774299813392,-4.0940481275060465,-3.9064019159675127,2.8135359346279127,398600.4415,0.0010826269,0.0
180.0,-4275.434398751967,7733.547443530172,4659.8167663236845,-4.077037742788426,-3.9373969759023035,2.794938691133852,398600.4415,0.0010826269,0.0
