t_s,dx_km,dy_km,dz_km,dvx_km_s,dvy_km_s,dvz_km_s
0.0,1.0,0.0,0.0,0.0,0.009999999999999787,0.0
10.0,0.9999868988252274,0.09998296849516919,-8.098003490886185e-06,-2.6736067377797212e-06,0.009996662025958614,-1.5556607628752772e-06
20.0,0.9999454517032973,0.19993458519820706,-2.98301720249583e-05,-5.670056116180433e-06,0.009993727453674328,-2.726413792064619e-06
30.0,0.9998724045003655,0.2998588183781976,-6.133511305961292e-05,-8.994460403144444e-06,0.009991183122452618,-3.509822229297299e-06
40.0,0.9997644528361889,0.3997595044093032,-9.872784539766144e-05,-1.265175668319074e-05,0.00998901581734346,-3.903604655963733e-06
50.0,0.9996182438362666,0.49964034726326645,-0.00013810134987579659,-1.6646706237466447e-05,0.009987212272654755,-3.905635094003657e-06
60.0,0.9994303778976246,0.5995049180237402,-0.00017552812187204836,-2.0983893967319034e-05,0.009985759175458853,-3.5139429686026347e-06
70.0,0.9991974104505061,0.6993566544142595,-0.00020706173290818697,-2.566772785872473e-05,0.009984643169106189,-2.7267130513486393e-06
80.0,0.9989158537318872,0.799198860389879,-0.00022873837315273704,-3.070243848046772e-05,0.009983850856738474,-1.5422853607560683e-06
90.0,0.9985821785612643,0.8990347057533654,-0.00023657841302338056,-3.609207852317553e-05,0.009983368804802328,4.0844964299679987e-08
100.0,0.9981928159295421,0.9988672257586586,-0.0002265877910758718,-4.1840522407632363e-05,0.00998318354668104,2.024027871527778e-06
110.0,0.9977441592741343,1.0986993209053253,-0.00019475995941320434,-4.79514658069391e-05,0.009983281585922654,4.408458460947173e-06
120.0,0.9972325660633032,1.1985337566047747,-0.0001370772697555367,-5.4428425334762665e-05,0.009983649399880168,7.195177260665986e-06
130.0,0.9966543593595816,1.29837316290741,-4.951232403982431e-05,-6.127473827266527e-05,0.00998427344334818,1.0385070529750351e-05
140.0,0.9960058296519492,1.3982200343061777,7.197044214990456e-05,-6.849356229210457e-05,0.009985140152049432,1.3978870531783372e-05
150.0,0.9952832367089286,1.4980767295583064,0.0002314131843377254,-7.60878752084082e-05,0.009986235946121802,1.7977155839954406e-05
160.0,0.994482811398484,1.5979454715570682,0.000432863092100888,-8.406047477826917e-05,0.009987547233607952,2.2380351676343224e-05
170.0,0.9936007575233816,1.697828347225368,0.0006803708374718553,-9.24139785336564e-05,0.009989060413942763,2.718873028140223e-05
180.0,0.992633253632448,1.797727307453897,0.000977989026978321,-0.00010115082365924621,0.009990761881442989,3.2402411320742175e-05
190.0,0.9915764548441075,1.8976441670647546,0.0013297706791490782,-0.00011027326690182804,0.009992638028791134,3.802136231634279e-05
200.0,0.9904264946480907,1.9975806048178129,0.0017397676947439322,-0.00011978338452234283,0.009994675250523333,4.404539911773142e-05
210.0,0.9891794867198769,2.0975381634470978,0.0022120293406260316,-0.00012968307228877762,0.009996859946505232,5.047418639536616e-05
220.0,0.9878315267078506,2.197518249728091,0.0027506007500051055,-0.00013997404550369907,0.009999178525407437,5.730723817620742e-05
230.0,0.9863786940495629,2.2975221345923273,0.003359521420861711,-0.0001506578390682023,0.010001617408176955,6.454391840016171e-05
240.0,0.9848170537470651,2.3975509532574506,0.0040428237298328895,-0.00016173580758938044,0.010004163031495317,7.218344151072031e-05
250.0,0.9831426581713458,2.4976057054072953,0.004804531440640858,-0.00017320912551888057,0.010006801851238478,8.022487307890458e-05
260.0,0.9813515488394842,2.59768725540016,0.005648658238897042,-0.00018507878733498018,0.010009520345916734,8.866713044941577e-05
270.0,0.9794397582109013,2.6977963325080054,0.006579206261449144,-0.0001973456077584146,0.01001230502011019,9.750898342586467e-05
280.0,0.9774033114626945,2.7979335311956675,0.007600164628456696,-0.00021001022200417552,0.010015142407897137,0.00010674905497642939
290.0,0.975238228276794,2.8980993114273588,0.00871550799729448,-0.00022307308607594223,0.010018019076261098,0.00011638582197415204
300.0,0.9729405246189344,2.998293999017733,0.009929195102813537,-0.0002365344770884903,0.010020921628494328,0.0001264176159634367
310.0,0.9705062145185366,3.098517786001139,0.011245167323068017,-0.00025039449363628563,0.01002383670757645,0.00013684262395452507
320.0,0.9679313118522259,3.198770731048171,0.012667347230490122,-0.0002646530561887239,0.010026750999554856,0.00014765888924950232
330.0,0.9652118321191665,3.299052759914048,0.014199637169440393,-0.00027930990753155527,0.010029651236884263,0.00015886431229183984
340.0,0.9623437942254895,3.3993636659088224,0.015845917816477595,-0.0002943646132349542,0.010032524201774251,0.0001704566515412509
350.0,0.9593232222587176,3.4997031104185226,0.017610046761546982,-0.00030981656216200193,0.010035356729503064,0.00018243352438584992
360.0,0.9561461472785595,3.6000706234462996,0.019495857085530588,-0.0003256649670149159,0.010038135711715412,0.0001947924080689667
370.0,0.9528086090949728,3.7004656041963244,0.021507155943254475,-0.00034190886491058947,0.010040848099702515,0.00020753064065104354
380.0,0.949306658054411,3.80088732168133,0.02364772314831498,-0.0003585471179965438,0.01004348090765994,0.00022064542199284887
390.0,0.9456363568233428,3.9013349153728996,0.025921309765180922,-0.00037557841409885384,0.010046021215918799,0.0002341338147657801
400.0,0.9417937821926898,4.0018073958781315,0.028331636697657814,-0.00039300126740693386,0.010048456174165388,0.00024799274549058836
410.0,0.9377750268540694,4.102303645658139,0.03088239328644704,-0.00041081401919118576,0.010050773004618208,0.00026221900559519895
420.0,0.9335762012042323,4.202822419766562,0.03357723590306705,-0.00042901483855750655,0.01005295900519343,0.00027680925250539445
430.0,0.9291934351476812,4.303362346637186,0.036419786550141,-0.00044760172323021763,0.010055001552644605,0.00029176001075148505
440.0,0.9246228798947413,4.4039219288843015,0.03941363145895593,-0.000466572500379403,0.010056888105661521,0.00030706767310784144
450.0,0.9198607096586784,4.504499544321334,0.04256231981344172,-0.0004859248274562411,0.010058606207962839,0.00032272850173553635
460.0,0.914903118962684,4.6050934488002895,0.04586936636133032,-0.000505656193214854,0.010060143493082485,0.0003387386297322159
470.0,0.9097463305251949,4.705701770742053,0.04933824406180065,-0.0005257639190645591,0.010061487686527038,0.0003550940625647314
480.0,0.9043865949915926,4.806322518285924,0.05297238533876225,-0.0005462451591800033,0.01006262660743662,0.0003717906784088676
490.0,0.8988201921611108,4.906953578252796,0.05677518087577482,-0.000567096901905817,0.010063548172675851,0.00038882422991148857
500.0,0.8930434326894101,5.00759271712468,0.0607499783318417,-0.0005883159707833485,0.010064240399842106,0.0004061903454797289
