t_s,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mu,J2,J3
0.0,-3514.49032703351,8390.716310243391,4127.627352553682,-4.357676322178153,-3.34657913876455,3.111892927869902,398600.4415,0.0010826269,0.0
10.0,-3557.9965321753416,8357.08298043551,4158.663438377548,-4.343535787525198,-3.380064227018689,3.0953036148797937,398600.4415,0.0010826269,0.0
20.0,-3601.36046537277,8323.115479827151,4189.533013530691,-4.329222029725332,-3.4134130782195276,3.078590905873772,398600.4415,0.0010826269,0.0
30.0,-3644.5803972984563,8288.815177398701,4220.234847425391,-4.3147356307333,-3.4466243713344555,3.0617554761371437,398600.4415,0.0010826269,0.0
40.0,-3687.654604478427,8254.183455312648,4250.767716250663,-4.300077179263277,-3.4796967909835725,3.044798005727477,398600.4415,0.0010826269,0.0
50.0,-3730.581369359543,8219.22170885681,4281.1304030198435,-4.285247270763439,-3.5126290274894134,3.0277191794462337,398600.4415,0.0010826269,0.0
60.0,-3773.3589803767095,8183.9313463870685,4311.321697617886,-4.270246507390295,-3.5454197769264133,3.0105196868102393,398600.4415,0.0010826269,0.0
70.0,-3815.9857320198307,8148.313789269584,4341.3403968483635,-4.2550754979827845,-3.578067741170111,2.993200222022992,398600.4415,0.0010826269,0.0
80.0,-3858.4599249005,8112.370471822551,4371.1853044802,-4.239734858036132,-3.6105716279460864,2.975761483945817,398600.4415,0.0010826269,0.0
90.0,-3900.7798658183756,8076.102841257359,4400.855231294034,-4.2242252096754855,-3.642930150878629,2.9582041760688726,398600.4415,0.0010826269,0.0
100.0,-3942.943867821549,8039.512357609654,4430.348995122149,-4.208547181630017,-3.67514202953907,2.9405290064825977,398600.4415,0.0010826269,0.0
110.0,-3984.950250287002,8002.600493704067,4459.665420909945,-4.192701409204071,-3.7072059894942453,2.922736687846682,398600.4415,0.0010826269,0.0
120.0,-4026.7973389803806,7965.368735084125,4488.8033407551975,-4.176688534251129,-3.73912076235407,2.9048279373615107,398600.4415,0.0010826269,0.0
130.0,-4068.4834661147333,7927.818579940464,4517.76159394622,-4.160509205147399,-3.770885085819003,2.886803476739309,398600.4415,0.0010826269,0.0
140.0,-4110.006970416901,7889.9515390518945,4546.539027008232,-4.1441640767640555,-3.802497703727432,2.868664032174179,398600.4415,0.0010826269,0.0
150.0,-4151.36619719339,7851.769135725577,4575.134493749164,-4.127653810439304,-3.8339573661027733,2.850410334312034,398600.4415,0.0010826269,0.0
160.0,-4192.559498395745,7813.272905736366,4603.5468553049395,-4.110979073950247,-3.86526282920028,2.8320431182204144,398600.4415,0.0010826269,0.0
170.0,-4233.585232685447,7774.46439726535,4631.774980184229,-4.094140541484581,-3.89641285555357,2.813563123358194,398600.4415,0.0010826269,0.0
180.0,-4274.4417654983345,7735.345170837626,4659.8177443127115,-4.077138893612085,-3.927406214020861,2.794971093545173,398600.4415,0.0010826269,0.0
190.0,-4315.127469108581,7695.916799259326,4687.674031076855,-4.059974817255937,-3.958241679830924,2.7762677769315482,398600.4415,0.0010826269,0.0
200.0,-4355.640722692248,7656.180867553956,4715.34273136723,-4.04264900566382,-3.9889180346287465,2.757453925967275,398600.4415,0.0010826269,0.0
210.0,-4395.979912390409,7616.138972898062,4742.822743621397,-4.025162158378849,-4.019434066520909,2.7385302973713004,398600.4415,0.0010826269,0.0
220.0,-4436.143431371885,7575.792724556262,4770.112973866354,-4.007514981210297,-4.049788570120678,2.719497652100684,398600.4415,0.0010826269,0.0
230.0,-4476.129679895594,7535.143743815689,4797.21233576059,-3.9897081862041137,-4.079980346592809,2.7003567553195906,398600.4415,0.0010826269,0.0
240.0,-4515.937065372538,7494.193663919856,4824.119750635751,-3.971742491613263,-4.110008203698061,2.681108376368161,398600.4415,0.0010826269,0.0
