station,t,rho_km,rho_dot_km_s,elev_rad
Station 2,0.0,4281.99112725241,-1.872590688164907,0.8430926972540939
Station 2,10.0,4263.468858218125,-1.83176345461775,0.8523940008604892
Station 2,20.0,4245.357846057967,-1.7903398733503078,0.8616465622027525
Station 2,30.0,4227.664036356168,-1.7483236328786824,0.8708430917082772
Station 2,40.0,4210.393334481779,-1.7057190909250615,0.8799758978926081
Station 2,50.0,4193.551598802324,-1.6625312930927327,0.8890368752354193
Station 2,60.0,4177.14463371636,-1.6187659903909002,0.898017493015272
Station 2,70.0,4161.178182517098,-1.5744296554678854,0.9069087853860434
Station 2,80.0,4145.6579201007735,-1.5295294974100333,0.915701343019297
Station 2,90.0,4130.5894455346615,-1.4840734749634992,0.9243853066812748
Station 2,100.0,4115.978274489795,-1.4380703080426462,0.9329503631586152
Station 2,110.0,4101.829831608762,-1.3915294873589872,0.9413857440028156
Station 2,120.0,4088.149442746145,-1.3444612820764548,0.9496802275957209
Station 2,130.0,4074.9423271410587,-1.2968767453394752,0.9578221451002933
Station 2,140.0,4062.213589561632,-1.2487877175409225,0.9657993909010802
Station 2,150.0,4049.968212428123,-1.200206827220683,0.9735994381715526
Station 2,160.0,4038.2110479389507,-1.1511474894862117,0.9812093602341893
Station 2,170.0,4026.9468102249634,-1.101623901856831,0.9886158583919189
Station 2,180.0,4016.180067558134,-1.0516510374455417,0.9958052969036203
Station 2,190.0,4005.9152346417486,-1.0012446354054299,1.002763745746828
Station 2,200.0,3996.156565009753,-0.9504211885823395,1.0094770317522614
Station 2,210.0,3986.90814356346,-0.8991979283314013,1.0159307986019828
Station 2,220.0,3978.1738792741576,-0.8475928064719951,1.0221105760510725
Station 2,230.0,3969.9574980803204,-0.7956244743736476,1.0280018585577932
Station 2,240.0,3962.2625360081047,-0.7433122591843253,1.0335901932869838
Station 2,250.0,3955.092332543623,-0.6906761372319519,1.038861277185873
Station 2,260.0,3948.450024285042,-0.637736704650053,1.0438010625235687
Station 2,270.0,3942.3385389019963,-0.584515145298704,1.048395869941792
Station 2,280.0,3936.7605894289377,-0.5310331960722637,1.052632507695677
Station 2,290.0,3931.7186689180803,-0.4773131097055823,1.0564983953846847
Station 2,300.0,3927.21504547633,-0.4233776152101574,1.0599816901040509
Station 2,310.0,3923.2517577092344,-0.3692498760908023,1.0630714126091914
Station 2,320.0,3919.8306105933425,-0.31495344651179413,1.06575757080391
Station 2,330.0,3916.9531717966033,-0.26051222559851506,1.0680312776629841
Station 2,340.0,3914.620768464514,-0.2059504100765519,1.0698848606040121
Station 2,350.0,3912.8344844875755,-0.15129244546446574,1.0713119593508826
Station 2,360.0,3911.595158263476,-0.09656297604914887,1.0723076094938753
Station 2,370.0,3910.9033809649654,-0.041786793883285656,1.072868309252252
Station 2,380.0,3910.759495322045,0.013011212946820616,1.072992067377079
Station 2,390.0,3911.1635949245056,0.06780611252835911,1.0726784306773798
Station 2,400.0,3912.1155240483217,0.12257298154504925,1.071928490284306
Station 2,410.0,3913.614878006757,0.17728695765518254,1.0707448664508987
Station 2,420.0,3915.661004024481,0.2319232915641729,1.069131672379769
