station,t,rho,rho_dot,rho_km,rho_dot_km_s,elev_rad
Station 2,0.0,4281.99112725241,-1.872590688164907,4281.990138131059,-1.8725898946107402,0.8430926972540937
Station 2,10.0,4263.468858440756,-1.8317634100502553,4263.468490654104,-1.8317638408265076,0.8523940008780513
Station 2,20.0,4245.357846950115,-1.7903397839761228,4245.359134875376,-1.7903391662525783,0.8616465622723022
Station 2,30.0,4227.664038367,-1.7483234984825415,4227.664232341419,-1.7483230231283269,0.870843091863203
Station 2,40.0,4210.393338062485,-1.7057189113169666,4210.394258293384,-1.705720888454834,0.8799758981652922
Station 2,50.0,4193.551604405861,-1.662531068109297,4193.552181509653,-1.6625298161234126,0.889036875657279
Station 2,60.0,4177.144641797184,-1.6187657198966743,4177.144005333537,-1.6187653876838288,0.8980174936168231
Station 2,70.0,4161.1781935308745,-1.574429339356677,4161.178735483095,-1.5744289037088899,0.9069087861969782
Station 2,80.0,4145.657934504075,-1.529529135606193,4145.657617908623,-1.529530521745051,0.9157013440685832
Station 2,90.0,4130.589463784661,-1.4840730674231948,4130.589141395545,-1.484072913983899,0.924385307997274
Station 2,100.0,4115.978297043939,-1.4380698547550814,4115.978394211258,-1.4380705982114896,0.9329503647692275
Station 2,110.0,4101.829858924436,-1.3915289883476005,4101.82833299403,-1.391528942418601,0.9413857459356423
Station 2,120.0,4088.149475280321,-1.3444607374000432,4088.150667446425,-1.3444587189606685,0.9496802298782558
Station 2,130.0,4074.942365349943,-1.2968761550932861,4074.941694260268,-1.296877203571324,0.9578221477601359
Station 2,140.0,4062.2136339002914,-1.2487870818576559,4062.214634169711,-1.2487887158929212,0.965799393966177
Station 2,150.0,4049.968263350102,-1.200206146271444,4049.968399671226,-1.2002062126020407,0.9735994416704616
Station 2,160.0,4038.2111058958926,-1.1511467634813637,4038.212637928972,-1.151146782584774,0.98120936419637
Station 2,170.0,4026.946875666205,-1.101623131046782,4026.946215696791,-1.1016227852029659,0.9886158628480485
Station 2,180.0,4016.180140930307,-1.0516502221214048,4016.1798291354507,-1.051648728550321,0.9958053018859298
Station 2,190.0,4005.915316388366,-1.001243775899622,4005.9156541574926,-1.001244487639654,1.0027637512894585
Station 2,200.0,3996.1566555707964,-0.950420285269038,3996.154448099698,-0.9504198321280936,1.0094770378916407
Station 2,210.0,3986.908243374958,-0.8991969816269153,3986.9090712964,-0.8991981665052189,1.0159308053772123
Station 2,220.0,3978.1739887677654,-0.8475918168349912,3978.17553039816,-0.8475930933542317,1.0221105835043252
Station 2,230.0,3969.957617682892,-0.7956234423052784,3969.958744489685,-0.7956231055794134,1.0280018667347142
Station 2,240.0,3962.262666141271,-0.7433111852282066,3962.263420910915,-0.7433103778256714,1.03359020223709
Station 2,250.0,3955.0924736233665,-0.6906750219740292,3955.0923276454732,-0.6906754345861231,1.0388612869629403
Station 2,260.0,3948.450176721277,-0.6377355487183161,3948.451458623504,-0.6377366646989416,1.0438010731860061
Station 2,270.0,3942.3387030981453,-0.5845139493627745,3942.3397771287673,-0.584515258821634,1.0483958815529872
Station 2,280.0,3936.7607657815233,-0.5310319608428464,3936.761158402368,-0.531032416107415,1.0526325203243094
Station 2,290.0,3931.718857816314,-0.47731183593378,3931.718862930627,-0.4773120024480523,1.0564984091050018
Station 2,300.0,3927.215247301713,-0.4233763036866357,3927.214885534841,-0.42337568274110815,1.0599817049960876
Station 2,310.0,3923.25197283517,-0.36924852764483984,3923.2507426029742,-0.3692492648098011,1.063071428758942
Station 2,320.0,3919.8308393847515,-0.3149520620101849,3919.8320656140445,-0.3149534351129472,1.0657575883034283
Station 2,330.0,3916.9534146095552,-0.26051080594434806,3916.9512425656685,-0.26051200219440807,1.0680312966104257
Station 2,340.0,3914.621025645871,-0.20594895620786557,3914.620655498525,-0.2059506525474442,1.069884881103603
Station 2,350.0,3912.8347563746534,-0.15129095835277706,3912.834920754723,-0.15129160577412798,1.0713119815128134
Station 2,360.0,3911.595445183714,-0.09656145669788063,3911.596305064899,-0.0965615566975822,1.0723076334341306
Station 2,370.0,3910.9036832356164,-0.041785243326077914,3910.9054448968527,-0.041784076828881946,1.072868335092368
Station 2,380.0,3910.75981324988,0.013012793647895537,3910.7608065736563,0.013014177715598084,1.0729920952438388
Station 2,390.0,3911.163928805544,0.06780772228467047,3911.163637284118,0.06780874417612474,1.0726784607024529
Station 2,400.0,3912.11587416757,0.12257461924336355,3912.116602295128,0.12257402839038738,1.0719285226038384
Station 2,410.0,3913.6152446379742,0.17728862215969077,3913.6139830376574,0.1772883734965796,1.0707449012050618
Station 2,420.0,3915.661387429967,0.23192498171858367,3915.6628173684935,0.23192563501987606,1.0691317097122812
Station 2,430.0,3918.2534030607453,0.28645911316349737,3918.2532465854206,0.286459425200266,1.0670944982946509
Station 2,440.0,3921.3901472560965,0.3408666469897119,3921.3894734969467,0.340867812966976,1.0646401800420076
Station 2,450.0,3925.0702333567033,0.3951234785762866,3925.0695942966026,0.39512253035008627,1.0617769411243945
Station 2,460.0,3929.2920350518,0.44920581658091274,3929.291973690473,0.44920638618161524,1.0585141377749285
Station 2,470.0,3934.0536898589276,0.503090229741108,3934.053297074005,0.5030905224644686,1.0548621830137104
Station 2,480.0,3939.353103056133,0.5567536919113046,3939.35539296608,0.5567537453164002,1.0508324260753001
Station 2,490.0,3945.187951857779,0.610173625246822,3945.187233676631,0.6101739201078769,1.0464370274791874
Station 2,500.0,3951.555690107542,0.6633279412518117,3951.5557227152854,0.6633266999624847,1.0416888325861728
Station 2,510.0,3958.453553370135,0.7161950795546805,3958.453581420031,0.7161954848186776,1.036601246211473
Station 2,520.0,3965.8785643983406,0.7687540442669882,3965.878592670463,0.7687536889936195,1.0311881105654945
Station 2,530.0,3973.8275389505725,0.8209844378012117,3973.8275942964347,0.8209841655209514,1.0254635884391428
Station 2,540.0,3982.29709193306,0.8728664920426845,3982.296610370202,0.8728662284589123,1.0194420531745851
Station 2,550.0,3991.2836438397885,0.92438109679129,3991.283060432288,0.9243830997036978,1.013137986585826
Station 2,560.0,4000.78342746261,0.9755098254087237,4000.7825653021077,0.9755103225929016,1.0065658856337234
Station 2,570.0,4010.7924948433615,1.0262349576274525,4010.791006668748,1.0262354421117232,0.9997401783304061
Station 2,580.0,4021.306724439549,1.0765394994971618,4021.3069407463818,1.0765412922909035,0.9926751490574217
Station 2,590.0,4032.3218284749437,1.1264072004638843,4032.322812851294,1.1264083962549984,0.98538487323526
Station 2,600.0,4043.8333604465197,1.1758225675954717,4043.8328173623786,1.1758237518412011,0.9778831610808835
Station 2,610.0,4055.836722759408,1.2247708769847465,4055.836164144369,1.2247699790955555,0.9701835100334342
Station 2,620.0,4068.3271744618773,1.2732381823782273,4068.326857979048,1.273238086435566,0.9622990653133312
Station 2,630.0,4081.299839052978,1.321211321093792,4081.299378413237,1.3212112431277627,0.9542425880021628
Station 2,640.0,4094.7497123361236,1.3686779173048018,4094.7482760663747,1.3686788696472636,0.9460264299850532
Station 2,650.0,4108.6716702928,1.415626382781083,4108.673035400831,1.4156279004575776,0.9376625150781539
Station 2,660.0,4123.060476951465,1.4620459151885,4123.060915951352,1.4620465938177507,0.929162325666417
Station 2,670.0,4137.910792227854,1.5079264940590058,4137.910080532826,1.5079273353010467,0.9205368941958528
Station 2,680.0,4153.217179713996,1.5532588745514528,4153.217476885758,1.5532599104389428,0.911796798895832
Station 2,690.0,4168.974114394552,1.5980345791307595,4168.973675937279,1.5980350917853783,0.9029521631467425
Station 2,700.0,4185.175990270314,1.64224588729854,4185.175778632881,1.642244641467358,0.8940126579534367
Station 2,710.0,4201.817127870131,1.6858858235127556,4201.817491833963,1.6858865425557321,0.884987507032695
Station 2,720.0,4218.891781633853,1.7289481434369027,4218.892734598345,1.7289474755961665,0.8758854940715192
Station 2,730.0,4236.3941471503485,1.7714273186609448,4236.395666674478,1.7714266388911757,0.8667149717608
Station 2,740.0,4254.318368236043,1.8133185200367938,4254.320072145492,1.8133193268131076,0.857483872254744
Station 2,750.0,4272.658543840848,1.8546175997705032,4272.658294982141,1.8546167576374517,0.8481997187496492
Station 2,760.0,4291.408734769793,1.8953210724117957,4291.408235021202,1.8953217523295909,0.838869637915591
Station 2,770.0,4310.562970210018,1.9354260948789621,4310.563069807519,1.935425760103214,0.829500372951251
Station 2,780.0,4330.115254054194,1.9749304456539174,4330.115382397406,1.9749304249593074,0.8200982970651912
Station 2,790.0,4350.059571012735,2.0138325032779303,4350.058836790843,2.0138322214593294,0.8106694272166106
Station 2,800.0,4370.389892508443,2.052131224274014,4370.389272033155,2.052131707102593,0.8012194379749217
Station 2,810.0,4391.100182348458,2.089826120616511,4391.100995622178,2.0898258829841407,0.7917536753807549
Station 2,820.0,4412.184402113904,2.1269172369054985,4412.186043914918,2.1269169905033785,0.7822771707035902
Station 2,830.0,4433.6365162433485,2.1634051273849164,4433.636289742501,2.1634055408641073,0.7727946540116858
Station 2,840.0,4455.450497288388,2.1992908325182334,4455.449849323177,2.1992906705739914,0.7633105675594569
Station 2,850.0,4477.620330544187,2.2345758558189632,4477.62004717298,2.234574179493626,0.7538290788324624
Station 2,860.0,4500.140018553156,2.269262140672792,4500.139023421796,2.269261570987144,0.7443540932749227
Station 2,870.0,4523.003585390849,2.303352047291234,4523.003312519079,2.303351127354785,0.7348892666585878
Station 2,880.0,4546.205080721907,2.336848329882724,4546.205503166048,2.336848864306069,0.7254380170688782
Station 2,890.0,4569.738583628618,2.369754114110234,4569.738502285656,2.3697545119362564,0.716003536492822
Station 2,900.0,4593.5982062153225,2.4020728748979083,4593.599440792919,2.402073500314421,0.7065888019989973
Station 2,910.0,4617.778096992511,2.433808414642748,4617.778247880543,2.433809013693136,0.6971965865043503
Station 2,920.0,4642.272444044909,2.4649648418812444,4642.272925164437,2.4649659222199722,0.6878294691266579
Station 2,930.0,4667.075477988434,2.4955465504547116,4667.075329230901,2.495546695878552,0.6784898451245455
Station 2,940.0,4692.181474721188,2.5255581992114413,4692.182790386895,2.5255589044694484,0.6691799354295516
Station 2,950.0,4717.584757974132,2.5550046922782337,4717.58353562853,2.55500495427688,0.6599017957767619
Station 2,960.0,4743.279701667258,2.5838911599286636,4743.279398075918,2.5838910516846063,0.6506573254421918
Station 2,970.0,4769.260732077425,2.612222940070583,4769.25955838875,2.612220909383835,0.6414482755963204
Station 2,980.0,4795.5223298241735,2.6400055603707,4795.523156097681,2.6400056884683147,0.6322762572841669
Station 2,990.0,4822.05903167999,2.6672447210298253,4822.05988200228,2.66724516110085,0.6231427490429892
Station 2,1000.0,4848.865432211647,2.693946278218391,4848.864916444054,2.693946172560263,0.6140491041691738
Station 2,1010.0,4875.936185259251,2.7201162281781515,4875.93784337257,2.7201159949449973,0.6049965576462213
Station 2,1020.0,4903.266005259756,2.7457606919926407,4903.2657079971605,2.74576088620621,0.5959862327458904
Station 2,1030.0,4930.849668421609,2.7708859010258537,4930.848285044489,2.7708844604458784,0.5870191473146282
Station 2,1040.0,4958.682013757298,2.7954981830258587,4958.681732552793,2.7954986957570607,0.5780962197573736
Station 2,1050.0,4986.7579439803785,2.8196039488875253,4986.7583040008885,2.8196043644938666,0.5692182747307131
Station 2,1060.0,5015.072426273631,2.8432096800663165,5015.072191881616,2.843212257892535,0.5603860485571757
Station 2,1070.0,5043.6204929347705,2.866321916633085,5043.622758455371,2.8663210323911663,0.5516001943722533
Station 2,1080.0,5072.397241906152,2.8889472459580943,5072.398097292803,2.8889460618979927,0.5428612870154381
Station 2,1090.0,5101.3978371946605,2.9110922920109505,5101.399568474099,2.911095025025525,0.5341698276763134
Station 2,1100.0,5130.617509187951,2.932763705261788,5130.618895073394,2.9327660508826456,0.5255262483063883
Station 2,1110.0,5160.051554872936,2.953968153168004,5160.049869088258,2.9539683639820478,0.5169309158070645
Station 2,1120.0,5189.695337962345,2.9747123112298635,5189.6949602037375,2.974712025317071,0.5083841360037731
Station 2,1130.0,5219.544288934979,2.995002854597555,5219.541560449292,2.995001214577373,0.49988615741597586
Station 2,1140.0,5249.593904995076,3.014846450211679,5249.59325859834,3.0148460822330923,0.4914371748323892
Station 2,1150.0,5279.839749956035,3.0342497494587324,5279.8408650602905,3.0342500230878655,0.48303733270043586
Station 2,1160.0,5310.277454053598,3.0532193813227595,5310.276610842502,3.0532199527118324,0.4746867283385913
Station 2,1170.0,5340.902713693344,3.071761946014227,5340.902077004906,3.0717637690144373,0.4663854149799456
Station 2,1180.0,5371.711291124593,3.0898840090678332,5371.71161725876,3.0898841770219083,0.4581334046530517
Station 2,1190.0,5402.699013907412,3.107592096015254,5402.699801223914,3.1075933337252066,0.44993067088538063
Station 2,1200.0,5433.861774697779,3.1248926871620766,5433.861418384395,3.1248921274875805,0.44177715131765805
Station 2,1210.0,5465.195530742433,3.141792212957201,5465.195274930258,3.1417937418784416,0.4336727501450032
Station 2,1220.0,5496.696303318683,3.158297049764634,5496.697112300386,3.1582960347182785,0.42561734042268873
Station 2,1230.0,5528.360177176319,3.1744135159647984,5528.3604312350035,3.174414207891631,0.41761076625265325
Station 2,1240.0,5560.18329994178,3.190147868403301,5560.183014655009,3.1901473985739783,0.40965284485050074
Station 2,1250.0,5592.1618814880185,3.2055062991696515,5592.162195991511,3.205506717960291,0.4017433684988806
Station 2,1260.0,5624.292193273318,3.2204949326888794,5624.292269394826,3.220495661093527,0.3938821063928792
Station 2,1270.0,5656.570567652155,3.235119823109401,5656.570822285078,3.235120089579389,0.3860688063828072
Station 2,1280.0,5688.9933971610335,3.249386951971035,5688.995398392215,3.249384933191705,0.37830319661951706
Station 2,1290.0,5721.5571337820475,3.2633022261375,5721.556828574124,3.26330348274571,0.3705849871071608
Station 2,1300.0,5754.258288186817,3.2768714759782918,5754.257748423958,3.2768723732862637,0.3629138711680544
Station 2,1310.0,5787.093428963212,3.2901004537853518,5787.094842594007,3.290101092293181,0.3552895268241249
Station 2,1320.0,5820.059181827222,3.3029948324104415,5820.058476126578,3.3029945009428325,0.34771161809918977
Station 2,1330.0,5853.152228822124,3.315560204109736,5853.1539487116,3.315559148987227,0.3401797962461237
Station 2,1340.0,5886.369307507021,3.327802079582631,5886.369113309215,3.3278017910831696,0.33269370090277867
Station 2,1350.0,5919.707210136638,3.339725887192332,5919.707283976157,3.3397243144914577,0.32525296118034264
Station 2,1360.0,5953.1627828341825,3.3513369723563184,5953.163516462464,3.351335930797633,0.31785719668764223
Station 2,1370.0,5986.732924758947,3.3626405970952638,5986.734137868642,3.3626415322624936,0.31050601849473025
Station 2,1380.0,6020.414587270229,3.3736419397296027,6020.415584268881,3.3736386958334825,0.3031990300389323
Station 2,1390.0,6054.204773088989,3.384346094713333,6054.204569453634,3.384346658733964,0.2959358279763849
Station 2,1400.0,6088.100535458629,3.3947580725952142,6088.1001690297935,3.3947569085061553,0.28871600298194094
Station 2,1410.0,6122.098977306131,3.404882800097991,6122.099324778777,3.4048834876275236,0.2815391405001772
Station 2,1420.0,6156.197250404738,3.414725120306715,6156.19738512381,3.414724728712387,0.27440482145011597
