sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error,num_updates,num_skips
1e-15,5925.436956144302,1.9830551487426682,21405.41271505893,7.307795114259574,True,,2574,3552
1e-14,5925.4369564076915,1.983055148789842,21405.412715758186,7.307795114392703,True,,2574,3552
1e-13,5925.436962984973,1.9830551538107262,21405.412749658648,7.307795119542821,True,,2574,3552
1e-12,5925.437470718173,1.9830556532853914,21405.41600573435,7.307795607994256,True,,2574,3552
1e-11,5925.498869016057,1.9831089239145459,21405.745221130124,7.307844264150007,True,,2574,3552
1e-10,5932.5666404097465,1.9887721457954686,21439.56074824761,7.312543292127601,True,,2574,3552
1e-09,4838.497803303228,2.279693203586642,20560.301704157977,6.810162661187591,True,,2424,3702
1e-08,1915.19992410022,1.6813364952872762,21765.37053283558,7.3764790911199,True,,1617,4509
1e-07,251.42314890651429,0.13424514426920311,1757.05885852883,1.3061912593057246,True,,5541,585
1e-06,3.849189207286691,0.009633558976670452,335.78159379154715,0.279950208337372,True,,6088,38
1e-05,0.43252125993963253,0.00045651776181563145,157.73836083441643,0.15411859570015374,True,,6085,41
0.0001,283.57042362965274,0.1839347636039057,123008.97798296814,38.38144126487586,True,,690,5436
0.001,3.6825154704423193,0.00028417018476139616,8401.763649439108,5.8013459863955505,True,,4434,1692
0.01,109.41441923792047,0.0009588860794398845,2441011.0385435903,356.69612193550506,True,,1423,4703
