sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error,num_updates,num_skips
1e-15,197.69126290407297,0.27853297473242095,564.2442732140439,0.35121042622794646,True,,5918,208
1e-14,197.69126293448574,0.27853297476028427,564.2442733531917,0.35121042632566807,True,,5918,208
1e-13,197.69127061680683,0.27853298408644156,564.2443016743114,0.35121044553599556,True,,5918,208
1e-12,197.6914725414342,0.27853312361904264,564.2454127331347,0.35121125716981794,True,,5918,208
1e-11,197.71388773898832,0.27855017930891646,564.363024921458,0.3512965368160949,True,,5918,208
1e-10,199.8185309934159,0.2802105639407005,575.3171493745041,0.35897177069349595,True,,5913,213
1e-09,698.288486960083,1.0212886837294681,2747.3697235638165,1.713762042036289,True,,5207,919
1e-08,151.12569551233358,0.4565514443860716,12914.9450251865,7.356315972802865,True,,3123,3003
1e-07,89.81084560096754,0.16590117025408457,12098.669189601495,6.54321000308284,True,,2995,3131
1e-06,29.25726732338467,0.03279621933732427,11835.6442412471,6.607642903558959,True,,2985,3141
1e-05,2.072215331914911,0.0016808114165328474,15742.09425994798,8.26456184794164,True,,2112,4014
0.0001,28.00962594260851,0.0051923453235797595,10638.617510459271,6.359368224163219,True,,3432,2694
0.001,28.01383545303467,0.0008955961530941861,10908.952910925893,7.03727175229405,True,,3692,2434
0.01,61.45381120351551,0.00045807929552316525,2002772.9540208427,238.57524430032208,True,,2566,3560
