sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error,num_updates,num_skips
1e-15,0.24380759529182142,0.00032323595692554554,0.6114565198595281,0.0003774625211920028,True,,6126,0
1e-14,0.24380772461207084,0.0003232361269150069,0.6114568292235707,0.00037746271882845706,True,,6126,0
1e-13,0.24380760165717147,0.0003232359635211696,0.6114565368736388,0.00037746253209439747,True,,6126,0
1e-12,0.24380603628815847,0.0003232337461797738,0.611452809372107,0.00037746019702681693,True,,6126,0
1e-11,0.24366405566056504,0.00032303117453248085,0.6111154302432733,0.00037724928956836947,True,,6126,0
1e-10,0.23063192518070874,0.0003044872310311981,0.5802835287847308,0.00035799804880697896,True,,6126,0
1e-09,0.06903095237763687,8.366402599098718e-05,0.2518520179258329,0.00015903786955588265,True,,6126,0
1e-08,0.018732953940835538,1.980176419379961e-05,0.21402937017795265,0.00014530805807687008,True,,6126,0
1e-07,0.002520391572229778,4.15400974708046e-06,0.18209835094026383,0.00012609024950336424,True,,6126,0
1e-06,0.0010314467732194536,1.0979474818347131e-06,0.13919254722979105,9.655453728270213e-05,True,,6126,0
1e-05,0.000984502459145586,8.525089812228878e-07,0.12326121580282354,7.074561813349278e-05,True,,6126,0
0.0001,0.0009844085467921454,5.608884337119174e-07,0.1155953689301861,7.204559255649426e-05,True,,6126,0
0.001,0.000986029795755372,1.2666109032624425e-07,1.9623466539693994,0.0018840348264355497,True,,6126,0
0.01,13.491419895829942,9.969495340796155e-05,59185.98975334346,8.007117278612348,True,,3061,3065
