sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s,run_ok,run_error
1e-15,0.07857083632551633,0.00010570086650041274,0.18705267024765226,8.98278768038943e-05,True,
1.21152765862859e-14,0.07857083593801348,0.00010570086470173604,0.1870526692806564,8.982787704583268e-05,True,
1.4677992676220675e-13,0.07857075607880996,0.00010570057045011762,0.18705251213159144,8.982792539677347e-05,True,
1.7782794100389228e-12,0.07855981088632885,0.00010565848397689802,0.18703032783258286,8.983494150838767e-05,True,
2.1544346900318777e-11,0.07898158497315559,0.00010374359230581012,0.18646008724660112,9.016697202110468e-05,True,
2.6101572156825333e-10,0.06750889042738163,7.63301358660141e-05,0.16668686571072996,8.552043816912594e-05,True,
3.1622776601683795e-09,0.015009953502405747,1.7853155095766915e-05,0.1302607599826641,7.143827299255412e-05,True,
3.831186849557285e-08,0.002264417010352202,3.672140718208644e-06,0.12251633902199881,6.440975021286225e-05,True,
4.6415888336127725e-07,0.0011233808724258909,1.5488113932161057e-06,0.1540490800091272,9.73530457732349e-05,True,
5.623413251903491e-06,0.0009887950710906377,9.851041958642959e-07,0.30784264963287056,0.00028729149763032444,True,
6.812920690579595e-05,0.0009949956126020269,5.872700475946599e-07,0.46876271247812307,0.0004697464485612661,True,
0.0008254041852680173,28.651000673059595,0.0009042743504370916,475960.2148734604,88.3187402990826,True,
0.01,34.96797732273307,0.000279571795581734,798305.0148140251,56.97958935266371,True,
