sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s
1e-15,0.14305685731996173,0.0001912750867075125,0.24083932370986494,0.0001325086410297154
1.21152765862859e-14,0.14305685648054786,0.00019127508673977788,0.24083932439401604,0.00013250864046636341
1.4677992676220675e-13,0.1430567332873305,0.00019127509140294392,0.2408394247147061,0.0001325085578716019
1.7782794100389228e-12,0.14303915935202655,0.0001912757452215043,0.24085443043316024,0.0001324967961160716
2.1544346900318777e-11,0.14248882515072017,0.00019108504640918866,0.24258760618467526,0.00013242652458923424
2.6101572156825333e-10,0.13365801874004363,0.00017622877434956676,0.23759078323351882,0.00012980605493417578
3.1622776601683795e-09,0.10499285978448059,0.0001472163975545856,0.3056790237074689,0.00016030285875867807
3.831186849557285e-08,0.09582645124815153,0.00011420624953911985,0.5094077863143469,0.0003511373242108799
4.6415888336127725e-07,0.04007954071474352,7.799176215200381e-05,0.7331788480326171,0.0005530280684199889
5.623413251903491e-06,0.0023352207741416295,2.3002990036954715e-05,1.8620185798808415,0.0008262667644226412
6.812920690579595e-05,0.000984461525552138,1.650190508028571e-06,1.827110679970103,0.0007262613428051079
0.0008254041852680173,0.0009842791035985974,2.9293372391304948e-08,1.837611821349023,0.000751946271641083
0.01,0.0009840178304432107,4.905775135397113e-09,2.4098375316930714,0.001079498225911205
