sigma_m_s2,rho_postfit_rms_km,rhodot_postfit_rms_km_s,pos3_rms_km,vel3_rms_km_s
1e-15,0.07855152955674174,0.00010568056839712532,0.14999613420325816,8.526638308792425e-05
3.030271082866393e-15,0.07855152952670927,0.00010568056828531558,0.14999613412915683,8.526638310731327e-05
9.182542835656301e-15,0.07855152925193559,0.0001056805672596642,0.14999613344929943,8.526638328419997e-05
2.782559402207126e-14,0.07855152672779592,0.0001056805578385871,0.1499961272037766,8.526638490822242e-05
8.431909292866251e-14,0.07855150355062396,0.00010568047133219836,0.14999606985943487,8.52663998248531e-05
2.5550970903525124e-13,0.07855129103013102,0.00010567967741649513,0.14999554372583224,8.526653676784798e-05
7.742636826811278e-13,0.07854936440805688,0.00010567242251248202,0.1499907481144553,8.526779226131128e-05
2.3462288481422625e-12,0.07853363402170851,0.00010560861455070489,0.14994951974343684,8.527913553283716e-05
7.109709432312424e-12,0.07848887919625026,0.00010517852838197526,0.14971496031382486,8.536475225322173e-05
2.1544346900318777e-11,0.07896719228892139,0.00010372932875783833,0.14926237181324722,8.561898063707235e-05
6.528521141127848e-11,0.07956611816743894,9.954084669272212e-05,0.14706116337231231,8.570519888845388e-05
1.9783188827841623e-10,0.07219404735858923,8.381253316782227e-05,0.1317062246921842,8.260410779645599e-05
5.994842503189421e-10,0.04801767274118955,4.883884524973969e-05,0.09512002918045191,7.363437172768548e-05
1.8165997883753286e-09,0.023062881071695514,2.3801235337392658e-05,0.07298708305956278,6.784066428564776e-05
5.504789807854968e-09,0.01003950728034866,1.322858057556782e-05,0.06062816645677043,6.281830281496464e-05
1.6681005372000556e-08,0.004390935889782563,6.423106155887653e-06,0.05207155243919253,5.8736660981164714e-05
5.054796821191235e-08,0.001901065833307528,3.121043549478567e-06,0.05077928318528988,5.797035975557284e-05
1.5317404637020798e-07,0.0013188351406868207,1.9717465876353164e-06,0.06015891736851045,6.148013675845726e-05
4.6415888336127725e-07,0.0011239194055589698,1.5482416279052177e-06,0.10669474882194674,9.259745039788864e-05
1.4065272421052336e-06,0.0010127276205568318,1.2374289196010728e-06,0.21629053960270628,0.00020297995778084584
4.262158829015325e-06,0.0009858648683081517,1.0126372776656799e-06,0.26199187472924207,0.0002473782807493458
1.2915496650148827e-05,0.0009843709011281895,8.923135088264933e-07,0.2580419009351803,0.00023284865951057982
3.913745601980376e-05,0.0009844073081548461,7.215454834534384e-07,0.2512558500243272,0.00021539106056709547
0.00011859710123376657,0.0009844034100191365,3.882300819943469e-07,0.2450740246496046,0.00020088774279059004
0.00035938136638046257,0.0009843851208336625,8.979351053425866e-08,0.2388839929096742,0.00018442024569816694
0.0010890229622637284,0.0009843776215603859,1.2424289900716146e-08,0.2366049996651485,0.00017742002526037403
0.003300034791125275,0.000984355441242805,5.078176606971404e-09,0.2867647788249219,0.0001816473809864513
0.01,0.0009841156405645936,4.903787757898566e-09,1.6253744833688086,0.0009090398647849865
